longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,y
-117.89,33.72,25,4343,847,3872,850,4.65,197.8
-117.89,33.72,23,2305,538,2493,502,3.6618,183.5
-117.89,33.71,24,4365,804,2663,753,4.5814,233.3
-117.89,33.71,23,1422,260,1092,263,4.7422,202.4
-117.89,33.71,16,1591,225,926,239,6.2452,266.3
-117.89,33.7,13,1857,572,838,525,3.2386,129.2
-117.89,33.68,8,5278,1575,2389,1371,3.3409,181.3
-117.89,33.68,26,2905,504,1452,491,5.0853,260.3
-117.89,33.66,33,3595,785,1621,732,4.1372,265.2
-117.89,33.66,32,2736,550,1279,534,5.5422,253.1
-117.89,33.62,24,1016,238,465,236,3.0625,93.8
-117.89,33.61,44,2126,423,745,332,5.1923,500.001
-117.89,33.61,42,1301,280,539,249,5,500.001
-117.89,33.61,16,2413,559,656,423,6.3017,350
-117.9,34.14,35,2259,505,1561,509,3.3043,155.5
-117.9,34.14,29,2240,457,1187,407,3.8365,184.2
-117.9,34.13,5,1126,316,819,311,1.5,139.8
-117.9,34.13,32,1640,391,1312,358,2.6292,136.1
-117.9,34.13,25,3076,856,2868,752,2.6619,117.6
-117.9,34.12,35,957,194,804,221,3.3322,151.4
-117.9,34.12,33,1788,456,1787,361,2.6629,124.1
-117.9,34.12,33,1555,361,1571,386,4.0529,138.2
-117.9,34.11,37,1286,255,1047,249,4.2019,140.1
-117.9,34.1,35,2739,475,1481,483,4.5655,176.6
-117.9,34.1,31,3007,653,1766,616,3.7083,166
-117.9,34.09,34,1562,272,825,266,4.125,220.8
-117.9,34.08,32,5482,1251,3426,1117,3.2943,204.4
-117.9,34.08,32,2068,356,976,370,5.212,201.2
-117.9,34.07,35,1646,294,1056,280,3.055,172
-117.9,34.06,35,1313,194,599,209,7.5,287.2
-117.9,34.06,34,2956,469,1488,464,5.3664,268.3
-117.9,34.06,33,1701,290,831,275,5.4469,274.7
-117.9,34.05,33,629,76,253,75,7.6286,330.4
-117.9,34.04,15,11989,2185,6652,2081,4.5554,278.3
-117.9,34.02,15,14058,2486,8997,2497,5.0704,226.2
-117.9,34.01,27,2383,472,2079,494,3.9702,141.4
-117.9,33.99,18,8076,1789,5325,1707,3.443,171.9
-117.9,33.98,20,9893,2283,7228,2159,3.253,186.7
-117.9,33.97,23,7353,1255,4014,1124,5.4155,213.2
-117.9,33.93,12,4325,1191,1897,1080,3.3173,247.4
-117.9,33.92,27,698,116,391,126,5.9177,267.6
-117.9,33.91,33,4181,804,2049,834,4.3103,201.6
-117.9,33.91,26,2885,476,1227,439,4.9524,226.6
-117.9,33.9,19,2176,414,1002,402,4.9743,193.5
-117.9,33.88,35,2062,353,991,357,5.2897,230.4
-117.9,33.88,34,1396,245,661,261,4.675,215.4
-117.9,33.88,28,2696,346,947,356,9.0055,375.4
-117.9,33.87,28,2315,538,1360,504,2.9861,218.6
-117.9,33.85,35,1756,328,1026,332,3.6,193.5
-117.9,33.85,31,3413,764,2326,728,4.325,187.1
-117.9,33.84,31,2043,468,1524,454,3.5329,187.4
-117.9,33.83,33,3065,611,2204,606,3.8456,211.8
-117.9,33.83,23,2459,689,2720,598,2.8072,164.7
-117.9,33.82,32,1187,302,1003,275,2.4931,166.9
-117.9,33.8,27,2176,442,1440,418,4.375,212.5
-117.9,33.8,23,1368,397,1940,358,3.0789,350
-117.9,33.8,22,2964,829,2639,771,2.4833,157.5
-117.9,33.8,21,1342,326,748,335,2.9231,45
-117.9,33.77,35,2002,378,1726,387,3.9613,182.3
-117.9,33.76,26,2678,702,3262,685,3.6953,176.8
-117.9,33.75,32,1893,431,2245,426,3.7143,163
-117.9,33.75,28,1346,291,1575,278,3.425,159.5
-117.9,33.74,25,808,163,1066,189,4.7679,173.1
-117.9,33.74,24,2932,955,5516,911,2.7535,111
-117.9,33.74,24,1435,494,3171,504,3.0833,151.7
-117.9,33.74,19,1566,379,1032,330,2.2105,180.4
-117.9,33.74,18,1884,442,1915,442,2.3783,166.7
-117.9,33.73,32,2930,833,5116,854,3.7147,164.1
-117.9,33.73,30,746,172,1048,163,4.1,166.4
-117.9,33.73,26,1324,314,1804,311,3.9659,178.5
-117.9,33.72,36,443,117,577,115,3.6875,137.5
-117.9,33.72,33,2613,562,3150,543,4.3899,180.7
-117.9,33.71,16,4208,630,2592,662,6.1966,260.5
-117.9,33.71,16,1917,317,1324,351,6.2488,252
-117.9,33.71,15,539,71,287,66,6.3427,305.2
-117.9,33.7,15,2289,686,982,634,4.5757,162.5
-117.9,33.7,12,4695,1110,2153,989,4.6483,190.8
-117.9,33.69,13,9947,1675,4071,1582,5.422,316.6
-117.9,33.68,25,7060,1159,3903,1139,4.8359,249.2
-117.9,33.67,26,2507,393,1333,392,6.1601,266.1
-117.9,33.67,25,639,98,311,93,6.6833,275.9
-117.9,33.66,4,456,91,623,84,6.6369,192.6
-117.9,33.66,22,3568,938,1952,938,3.1667,161
-117.9,33.66,13,1642,423,841,368,3.6042,226
-117.9,33.65,30,1634,373,771,364,3.4125,284.1
-117.9,33.65,28,2043,430,1108,452,5.2549,261.8
-117.9,33.65,24,4496,877,1928,855,4.6808,245.5
-117.9,33.64,36,2017,357,850,348,5.0532,310.9
-117.9,33.64,28,2466,507,1081,465,3.9375,339.8
-117.9,33.63,32,3556,521,1381,537,6.1426,450.7
-117.9,33.63,28,2370,352,832,347,7.1148,500.001
-117.9,33.63,26,4486,554,1598,549,10.1454,500.001
-117.9,33.63,26,1632,376,598,375,3.2125,455
-117.9,33.61,44,1469,312,507,266,3.4937,500.001
-117.9,33.61,41,1521,328,527,275,4.0764,500.001
-117.9,33.61,19,2897,413,860,367,13.1738,500.001
-117.91,34.14,42,2225,485,1544,464,2.2442,166.7
-117.91,34.13,34,1540,328,1037,317,2.2132,138.5
-117.91,34.12,41,2673,578,2259,592,3.7846,145.5
-117.91,34.12,33,1391,309,1038,298,4.1944,149.5
-117.91,34.11,20,3158,684,2396,713,3.525,153
-117.91,34.1,35,2746,478,1779,501,4.25,166.7
-117.91,34.1,28,3694,722,1999,718,3.2813,181.1
-117.91,34.08,35,1443,266,861,262,3.5795,186.9
-117.91,34.08,33,2325,452,1170,445,3.6625,217.1
-117.91,34.07,36,1390,270,887,266,5.0897,189
-117.91,34.07,33,2938,561,1519,549,4.5594,204.2
-117.91,34.06,29,3250,521,1382,513,5.112,218.3
-117.91,34.05,35,3189,527,1727,500,5.0758,211.1
-117.91,34.04,15,8749,1761,5278,1691,4.6324,168.8
-117.91,34.02,22,6269,1279,5587,1251,3.8201,136.2
-117.91,34.02,17,5973,1384,4349,1229,3.2799,199.3
-117.91,33.93,21,2578,363,1207,350,6.2452,291.7
-117.91,33.92,21,380,91,398,70,4.7222,208.3
-117.91,33.91,34,1763,303,894,297,5.0096,221.7
-117.91,33.91,32,1530,301,666,276,4.125,230.2
-117.91,33.91,27,2181,501,1555,488,3.6106,196.4
-117.91,33.91,24,2249,379,1015,385,4.9766,267.1
-117.91,33.9,27,829,114,383,133,9.3125,293.5
-117.91,33.89,30,1631,212,523,216,7.875,351.9
-117.91,33.87,52,2031,506,1191,463,2.9076,177.3
-117.91,33.86,26,2296,570,1415,527,2.4732,165.8
-117.91,33.85,35,932,258,1147,267,2.7014,156.7
-117.91,33.85,22,1178,289,865,294,3.025,180
-117.91,33.84,35,1244,324,1603,322,2.9583,175.4
-117.91,33.84,29,1570,482,1849,430,2.6563,162.5
-117.91,33.83,9,1160,368,735,325,1.119,175
-117.91,33.83,47,504,113,375,109,3.6607,160.6
-117.91,33.83,32,1855,527,2568,504,2.5509,170.8
-117.91,33.81,18,1181,353,781,340,2.5625,153.1
-117.91,33.79,22,4417,1054,2759,983,4.25,170.3
-117.91,33.78,33,2729,549,2223,535,4.0362,177.9
-117.91,33.78,26,4297,1037,3596,967,3.045,184
-117.91,33.77,26,5556,1398,4545,1333,3.0902,190.4
-117.91,33.76,22,7531,1569,5254,1523,3.8506,167.4
-117.91,33.76,20,4413,1189,4818,1063,2.8594,215.1
-117.91,33.75,8,2346,679,3842,674,3.0635,160
-117.91,33.74,25,4273,965,2946,922,2.9926,183.2
-117.91,33.74,15,715,214,1394,244,3.3846,162.5
-117.91,33.73,26,2413,512,2867,509,4.7639,179.9
-117.91,33.72,32,2436,504,2839,516,4.5607,182.1
-117.91,33.71,16,3113,783,1719,715,3.6505,145.7
-117.91,33.69,30,2704,426,1289,423,5.2815,229.5
-117.91,33.67,32,3058,562,1475,569,4.4625,253.5
-117.91,33.67,16,7961,2276,5014,2116,3.512,218.4
-117.91,33.66,21,1708,505,1099,434,3.225,193.8
-117.91,33.65,24,1494,494,814,459,2.1074,181.3
-117.91,33.65,19,1589,421,1118,394,4.1029,213.4
-117.91,33.65,14,2598,759,1584,703,4.0417,180.9
-117.91,33.64,40,1958,333,876,364,3.6406,326.1
-117.91,33.64,38,2222,542,1067,512,2.8553,307.6
-117.91,33.64,37,1998,472,1030,436,3.9306,268.4
-117.91,33.64,29,1652,310,832,326,4.8098,325.4
-117.91,33.63,32,1901,400,946,418,2.7264,311.1
-117.91,33.63,32,1122,233,557,223,3.5388,407
-117.91,33.63,30,2071,412,1081,412,4.9125,335.7
-117.91,33.63,20,3442,1526,1427,977,3.1985,106.3
-117.91,33.62,35,2426,359,937,387,9.2175,500.001
-117.91,33.62,32,1997,427,944,426,4.4063,500.001
-117.91,33.61,40,2790,531,952,424,4.8,500.001
-117.91,33.61,38,1232,178,410,171,11.075,500.001
-117.91,33.61,36,3082,455,771,365,11.216,500.001
-117.91,33.61,27,1797,343,435,203,5.9196,500.001
-117.92,34.59,7,681,125,485,104,2.7396,125.6
-117.92,34.13,42,1762,398,1526,365,2.8643,132.6
-117.92,34.11,24,2838,695,2151,645,3.2202,126.2
-117.92,34.1,35,2994,603,1933,561,4.0052,160.7
-117.92,34.1,33,1921,397,1492,393,4.375,150.5
-117.92,34.09,35,1810,318,1164,332,5.0123,165.7
-117.92,34.08,36,1479,251,741,245,4.2986,189.6
-117.92,34.08,36,1285,228,679,231,3.8705,191.9
-117.92,34.08,35,2108,408,1257,414,4.1312,185.2
-117.92,34.08,35,1897,311,965,323,5.7039,199.4
-117.92,34.08,35,1860,323,1011,305,3.5536,207
-117.92,34.07,38,175,22,129,20,9.7066,182.5
-117.92,34.07,36,1057,207,658,207,4.7708,191.7
-117.92,34.07,29,1699,399,1052,411,3.2122,195.5
-117.92,34.06,35,2894,467,1420,479,5.184,224.9
-117.92,34.06,34,2819,609,1718,558,3.5547,197.6
-117.92,34.05,36,2241,419,1743,448,4.6587,161.9
-117.92,34.03,35,1469,306,1285,308,3.9219,159.5
-117.92,34.03,32,1819,375,1728,375,3.975,162.4
-117.92,34.01,35,3055,634,3738,615,3.375,127.2
-117.92,34,36,116,30,193,35,3.8125,136.3
-117.92,33.98,10,16414,2919,8907,2714,6.1552,362.5
-117.92,33.94,30,2506,394,1255,421,4.7813,198.2
-117.92,33.94,27,4566,620,2045,664,5.583,267.7
-117.92,33.93,12,4415,890,1532,854,3.75,166.3
-117.92,33.92,19,2181,400,1272,337,5.1952,302.1
-117.92,33.91,33,2868,382,1204,412,6.1825,336.9
-117.92,33.91,27,2558,310,891,316,9.5561,411.8
-117.92,33.89,18,2895,487,1116,429,5.4716,400
-117.92,33.89,12,1859,393,622,316,5.0258,161.8
-117.92,33.88,52,1270,276,609,211,3.75,232.5
-117.92,33.88,32,1683,273,719,263,5.3649,243.6
-117.92,33.88,32,1632,244,575,235,5.3986,318.7
-117.92,33.87,36,1125,285,966,257,2.8438,162.5
-117.92,33.87,33,1597,406,1888,423,3.055,157.8
-117.92,33.86,26,745,161,247,151,3.6375,133.9
-117.92,33.85,44,1231,258,682,244,3.2344,170.1
-117.92,33.84,45,2019,394,1549,377,4.6111,223
-117.92,33.84,38,1316,263,671,278,3.2969,220
-117.92,33.83,6,3136,990,1894,859,2.5564,171.3
-117.92,33.83,52,1514,301,855,293,3.6042,166.4
-117.92,33.83,36,1072,193,639,196,5.0275,179.3
-117.92,33.83,17,382,86,272,81,1.425,212.5
-117.92,33.82,36,2360,405,1479,386,4.3583,187.2
-117.92,33.82,10,1548,506,1535,424,4.5057,152.4
-117.92,33.81,34,988,173,759,184,5.6047,205.1
-117.92,33.8,17,1317,256,679,272,4.6696,159.5
-117.92,33.79,29,3692,969,2683,881,3.1726,198.7
-117.92,33.79,26,2737,614,1877,606,2.8622,184.3
-117.92,33.78,35,1654,323,1065,354,3.4837,186.5
-117.92,33.77,28,3614,960,3282,889,3.522,190.3
-117.92,33.75,32,790,199,1196,201,3.0625,142.8
-117.92,33.75,23,893,223,1149,216,2.6442,156.3
-117.92,33.75,19,1920,471,1413,432,4.0313,147.5
-117.92,33.74,24,5321,1063,4011,1047,4.3882,189.3
-117.92,33.74,18,1639,491,2513,458,2.1838,159.7
-117.92,33.74,13,4620,1265,3385,1109,3.1773,186.5
-117.92,33.73,14,5147,1182,3171,1126,3.9929,225.8
-117.92,33.72,17,3318,502,1520,498,5.5501,274.2
-117.92,33.7,15,3201,677,1510,622,4.2708,161.7
-117.92,33.68,28,3397,597,1397,560,4.8125,244.6
-117.92,33.68,25,2017,454,1024,428,4.4732,245.6
-117.92,33.67,14,6224,1679,3148,1589,4.2071,430.9
-117.92,33.65,25,1679,470,1314,473,4.1026,211.5
-117.92,33.65,20,1391,393,856,360,3.184,220
-117.92,33.65,15,1309,477,1330,424,3.4417,182.5
-117.92,33.64,25,2224,580,985,516,3.1305,268.8
-117.92,33.64,24,2539,695,1623,611,3.0708,188.7
-117.92,33.63,39,1469,226,553,225,7.8496,490.8
-117.92,33.63,34,2479,491,1131,490,4.9643,317.9
-117.92,33.63,24,1562,441,696,347,3.5161,236.4
-117.92,33.62,37,2038,379,837,381,5.2416,471.3
-117.92,33.62,35,1821,335,727,316,6.5842,458.5
-117.92,33.61,37,1244,173,394,154,10.3682,500.001
-117.92,33.61,36,1025,150,316,126,10.3048,500.001
-117.92,33.61,23,1808,408,539,300,3.5682,500.001
-117.92,33.61,18,1538,425,425,288,5.3369,312.5
-117.92,33.57,37,3355,492,921,366,7.2988,500.001
-117.93,34.57,5,5613,1060,3569,999,3.1946,132.7
-117.93,34.15,14,9610,2005,4723,1907,4.0393,156.8
-117.93,34.12,36,294,67,266,80,3.5385,134.4
-117.93,34.09,35,782,153,499,163,4.2062,161.3
-117.93,34.09,35,1891,353,1093,382,4.0167,165.5
-117.93,34.09,34,2192,431,1376,428,3.9861,163.9
-117.93,34.08,36,1788,317,1139,320,4.125,185.8
-117.93,34.08,36,1597,285,901,272,4.3947,197
-117.93,34.08,36,1371,246,806,241,4.5078,187.1
-117.93,34.08,35,689,128,379,128,3.9583,206
-117.93,34.07,36,1207,209,683,213,5.3559,207.3
-117.93,34.07,34,1409,305,819,273,3.3977,188.8
-117.93,34.06,37,1505,262,798,259,5.4635,202.1
-117.93,34.06,28,3342,688,2210,647,3.4596,202.8
-117.93,34.05,36,1340,221,848,244,4.1731,205.1
-117.93,34.05,32,3055,623,1902,565,4.2926,190.7
-117.93,34.04,23,6361,1168,4580,1109,4.9342,181
-117.93,34.03,35,2160,399,1694,403,3.8581,163.1
-117.93,34.03,30,2246,446,1837,431,4.7917,164.5
-117.93,34.01,33,1733,361,1757,375,4.2266,153.8
-117.93,34.01,23,3188,836,3883,840,2.1863,157.6
-117.93,33.95,31,3600,468,1382,435,7.4597,500.001
-117.93,33.94,30,2658,382,1135,392,6.0516,245
-117.93,33.94,28,3664,719,1820,657,4.225,224.7
-117.93,33.93,37,1128,273,931,234,2.8,137.5
-117.93,33.93,33,1626,378,1062,356,2.1944,139.6
-117.93,33.9,30,2629,331,956,319,9.9071,500.001
-117.93,33.88,52,2157,362,1001,373,5.1237,240
-117.93,33.88,45,1306,293,585,260,4.0812,241.7
-117.93,33.88,32,2458,359,967,409,7.2893,293.5
-117.93,33.87,52,950,229,429,185,2.315,182.1
-117.93,33.87,45,1006,230,1237,237,3.3472,168
-117.93,33.87,29,1221,371,1822,326,1.7935,162.5
-117.93,33.87,10,1277,488,730,417,1.4803,137.5
-117.93,33.86,36,931,279,778,303,2.6563,155
-117.93,33.86,36,1672,318,1173,337,4.5774,182.1
-117.93,33.86,35,1216,225,893,228,4.0288,184
-117.93,33.86,17,1627,398,1216,369,3.3438,186.6
-117.93,33.85,36,2147,416,1011,392,3.2188,196.9
-117.93,33.85,33,2489,546,1857,444,2.9474,178.4
-117.93,33.85,31,2149,465,966,302,3.875,183.9
-117.93,33.85,27,1962,544,1492,481,1.9621,118.1
-117.93,33.85,25,1026,288,1646,283,4.2019,163.9
-117.93,33.84,34,2160,298,852,305,6.0531,287.1
-117.93,33.84,26,2811,612,1374,566,3.475,282.5
-117.93,33.84,23,2870,653,1680,598,3.2301,189.9
-117.93,33.83,32,1792,411,1131,381,2.4942,186.3
-117.93,33.82,28,2444,555,1848,567,3.0179,198.8
-117.93,33.81,18,3291,587,1640,563,4.8981,166.3
-117.93,33.8,34,3903,717,2054,716,4.2731,218
-117.93,33.8,29,1672,267,891,281,4.8611,231.9
-117.93,33.79,36,2363,403,1240,391,4.0909,190.8
-117.93,33.79,34,3592,616,2138,605,5.2129,193.4
-117.93,33.77,36,3157,582,1842,561,4.5833,190.7
-117.93,33.76,24,3202,703,3308,714,4.1577,174.1
-117.93,33.76,21,2884,662,2613,645,4.05,177.9
-117.93,33.76,17,3341,803,3381,825,3.371,161.8
-117.93,33.75,24,1380,339,1472,304,4.2219,162.8
-117.93,33.74,5,639,197,666,197,3.3017,87.5
-117.93,33.74,30,1654,434,1843,467,3.1403,153
-117.93,33.74,15,1206,282,677,270,3.9219,142.6
-117.93,33.73,19,4021,557,1872,545,6.7919,295.6
-117.93,33.72,17,4461,585,2095,580,7.6709,319.5
-117.93,33.69,26,2822,473,1258,469,6.4441,261
-117.93,33.69,19,2602,439,1156,424,5.01,263.8
-117.93,33.67,27,3512,472,1391,481,8.1001,336.5
-117.93,33.66,18,2043,250,702,246,9.6062,414.7
-117.93,33.65,35,2133,413,1473,402,4.4211,215.2
-117.93,33.65,34,2141,425,1559,429,4.2036,220.1
-117.93,33.65,29,1253,375,1198,362,3.5179,225
-117.93,33.65,27,1283,406,1063,376,2.75,275
-117.93,33.65,26,5831,1546,4738,1477,3.1483,213
-117.93,33.64,31,1291,356,1252,373,2.7143,185.4
-117.93,33.64,24,1395,396,1478,404,2.5301,192.9
-117.93,33.64,15,1707,514,1335,434,2.7543,177.8
-117.93,33.63,10,2766,732,1332,646,4.6161,226.3
-117.93,33.62,37,2204,428,807,410,7.0516,500.001
-117.93,33.62,34,2125,498,1052,468,5.6315,484.6
-117.93,33.62,33,1890,416,859,329,4.5658,500.001
-117.93,33.61,27,1806,465,791,358,3.8125,366.7
-117.94,34.15,33,859,144,421,138,4.4821,220.1
-117.94,34.14,33,1620,283,868,275,5.411,219.4
-117.94,34.1,31,1239,254,929,244,3.3625,153.4
-117.94,34.09,21,2707,675,1742,626,2.1062,176.7
-117.94,34.08,35,2393,417,1336,418,4.87,187.7
-117.94,34.08,32,2704,514,1669,497,4.4653,195.4
-117.94,34.07,25,1814,404,1187,363,3.3523,170.8
-117.94,34.06,34,1921,422,1230,447,3.6648,193.9
-117.94,34.05,34,1729,324,1341,324,3.7708,163.5
-117.94,34.05,34,1519,304,1262,300,3.3409,161.2
-117.94,34.04,34,1403,274,977,257,3.8409,163
-117.94,34.04,33,1493,331,1571,354,3.8864,158.9
-117.94,34.03,35,1499,289,1112,268,3.83,149
-117.94,34.03,35,1375,249,1015,239,4.0521,151.8
-117.94,34.02,27,5026,955,3899,930,3.871,162.9
-117.94,33.99,18,6100,1018,3112,982,4.9932,284
-117.94,33.94,30,1596,307,845,309,4.5096,241.1
-117.94,33.94,25,3250,546,1452,501,5.1084,303.8
-117.94,33.93,34,1475,319,698,293,3.8194,186
-117.94,33.92,32,1053,207,1038,222,4.6696,165.5
-117.94,33.91,18,8836,1527,3946,1451,5.6441,313
-117.94,33.9,27,2029,242,711,254,9.7956,500.001
-117.94,33.89,30,2577,404,1076,374,6.7528,459.6
-117.94,33.88,35,2159,343,833,335,5.3738,365.1
-117.94,33.88,35,1694,296,679,282,4.3333,239.3
-117.94,33.86,35,2127,417,1247,378,4.75,185.6
-117.94,33.86,33,1013,312,706,266,2.1432,197.5
-117.94,33.85,37,588,121,436,104,4.275,186.2
-117.94,33.84,28,604,207,615,212,3.6214,182.1
-117.94,33.83,20,812,192,494,172,3.25,350
-117.94,33.82,34,1347,212,676,201,3.8828,215.4
-117.94,33.82,29,1422,409,1057,390,2.3347,208.1
-117.94,33.82,27,1366,326,878,325,3.4,196.9
-117.94,33.82,24,4735,955,2600,868,5.0764,228.6
-117.94,33.81,34,1290,203,664,204,5.8461,227.4
-117.94,33.81,33,1891,334,932,343,4.2759,238
-117.94,33.81,26,1589,259,735,315,4.5714,243.2
-117.94,33.81,25,1731,482,1127,455,3.256,214.3
-117.94,33.78,40,299,68,163,70,3.0125,166.1
-117.94,33.78,34,2627,468,1409,450,4.7731,199.2
-117.94,33.78,11,2880,745,1806,722,3.8056,171.1
-117.94,33.77,33,2964,747,2235,718,3.2591,175.9
-117.94,33.77,32,714,142,654,154,4.5052,170.8
-117.94,33.76,33,1441,337,1233,331,3.7232,176.2
-117.94,33.76,27,2512,506,1861,511,4.2386,184.2
-117.94,33.75,30,5268,1093,4480,1050,4.015,186.7
-117.94,33.74,24,4248,840,3118,798,4.2222,207.2
-117.94,33.71,18,3695,602,1779,572,5.9449,276.5
-117.94,33.68,26,4183,539,1504,520,7.4056,374.2
-117.94,33.67,26,2552,314,925,323,8.1839,367
-117.94,33.66,16,2095,450,963,411,5.5,224.1
-117.94,33.65,20,5476,1073,2327,963,5.6637,222.1
-117.94,33.65,15,2016,443,1015,419,5.2732,209.7
-117.94,33.64,24,1097,307,470,333,1.6389,225
-117.94,33.64,18,1867,426,871,399,2.6221,272
-117.94,33.62,28,1765,390,832,349,6.5928,439.1
-117.95,35.13,4,2630,502,1150,422,4.25,104.4
-117.95,34.16,17,7116,1089,3538,1083,6.2654,273.8
-117.95,34.11,29,1986,448,2013,432,3.1034,140.8
-117.95,34.09,21,2215,484,1792,419,2.8375,166.5
-117.95,34.09,18,1179,324,1296,331,2.851,140.6
-117.95,34.08,34,2278,476,1728,448,3.125,154.1
-117.95,34.07,37,1987,399,1279,378,4.1172,176.5
-117.95,34.06,32,2252,415,1370,411,4.6312,184.8
-117.95,34.05,34,1428,227,890,249,5.8722,204.8
-117.95,34.05,31,2349,539,2028,521,3.494,154.5
-117.95,34.04,36,1044,200,982,205,4.7679,153.9
-117.95,34.04,27,2610,846,2296,750,2.274,150.8
-117.95,34.03,35,804,159,727,179,2.7361,145.7
-117.95,34.03,33,1782,394,1517,376,3.3389,157.9
-117.95,34.03,33,1453,326,1609,319,3.7578,155.8
-117.95,34.02,22,1919,411,1203,363,4.2578,144.1
-117.95,34.02,19,1129,258,900,228,3.875,135.6
-117.95,34,34,2376,468,1858,449,4.1328,176.3
-117.95,33.99,25,1075,138,451,132,6.8492,332.2
-117.95,33.99,24,1219,177,610,185,6.7978,325
-117.95,33.99,15,3978,692,2418,665,5.0142,269.9
-117.95,33.98,15,16042,2602,7732,2552,5.6716,330.4
-117.95,33.97,33,1113,145,424,137,8.3474,500.001
-117.95,33.95,29,4943,674,1913,641,6.8189,379.3
-117.95,33.94,31,2237,431,1135,434,4.45,267.9
-117.95,33.94,28,2851,496,1287,496,5.0782,264.1
-117.95,33.93,25,3445,801,2400,750,3.4702,161.9
-117.95,33.92,32,1661,312,1201,302,4,178.2
-117.95,33.92,18,2825,660,1590,643,3.6106,153.6
-117.95,33.92,13,2312,592,2038,559,3.1378,137
-117.95,33.92,11,3127,706,1594,694,4.3426,141.3
-117.95,33.89,17,1665,247,755,254,6.5764,349
-117.95,33.88,34,1939,355,817,314,3.6705,275
-117.95,33.87,34,1599,296,938,307,4.285,184.9
-117.95,33.87,22,1432,335,746,296,2.0227,55
-117.95,33.86,36,2038,343,1066,346,5.197,195.7
-117.95,33.86,35,2375,439,1343,424,4.53,193.5
-117.95,33.85,13,6963,1426,3892,1375,4.1325,203.5
-117.95,33.84,34,1229,215,1035,218,3.5455,180
-117.95,33.84,19,1749,406,969,391,3.75,173.4
-117.95,33.84,18,3418,815,1961,773,3.65,171.4
-117.95,33.83,36,1380,237,690,234,3.8214,210.9
